,Coordinates,Cuisine,Latitude,Longitude,Restaurant_Name
0,"('39.0574043000', '-94.5981116000')","BBQ, American",39.0574043000,-94.5981116000,Q39
1,"('39.0878000000', '-94.5848600000')","Italian, Desserts",39.0878000000,-94.5848600000,Lidia’s
2,"('39.0915670000', '-94.5562220000')","American, BBQ",39.0915670000,-94.5562220000,Arthur Bryant's Barbeque
3,"('39.0915010000', '-94.5786670000')","Burger, Pizza",39.0915010000,-94.5786670000,Grinders
4,"('38.9932200000', '-94.5942300000')","Italian, Pizza",38.9932200000,-94.5942300000,Waldo Pizza
5,"('39.0530160000', '-94.5907500000')",Breakfast,39.0530160000,-94.5907500000,Beer Kitchen
6,"('39.0878000000', '-94.5848600000')","BBQ, Seafood, Steak",39.0878000000,-94.5848600000,Jack Stack Barbecue - Freight House
7,"('39.0510600000', '-94.5957390000')","American, Burger",39.0510600000,-94.5957390000,Westport Flea Market Bar and Grill
8,"('39.0535290000', '-94.5917710000')","Burger, Bar Food",39.0535290000,-94.5917710000,McCoy's Public House
9,"('39.0879070000', '-94.5877150000')",Thai,39.0879070000,-94.5877150000,Lulu's Thai Noodle Shop & Satay Bar
10,"('39.0571990000', '-94.6062530000')","Asian, Vegetarian",39.0571990000,-94.6062530000,Blue Koi
11,"('39.0570110000', '-94.6062880000')","Pizza, Sandwich",39.0570110000,-94.6062880000,D'Bronx Deli & Pizzeria
12,"('39.0424720000', '-94.5921380000')","American, Seafood, Steak",39.0424720000,-94.5921380000,McCormick & Schmick's
13,"('39.0418600000', '-94.5890200000')","American, BBQ, Seafood",39.0418600000,-94.5890200000,Jack Stack Barbecue
14,"('39.0222280000', '-94.6477960000')",Sandwich,39.0222280000,-94.6477960000,Longboards Wraps & Bowls
15,"('39.0422470000', '-94.5904070000')",Breakfast,39.0422470000,-94.5904070000,The Classic Cup
16,"('39.0422900000', '-94.5894600000')","Brazilian, Steak",39.0422900000,-94.5894600000,Fogo de Chao Brazilian Steakhouse
17,"('39.0345560000', '-94.5871530000')","Breakfast, Diner, Sandwich",39.0345560000,-94.5871530000,Eggtc.
18,"('39.0790500000', '-94.5759950000')","Cafe, Diner, Sandwich",39.0790500000,-94.5759950000,Succotash
19,"('39.0853800000', '-94.5925600000')","Spanish, Tapas",39.0853800000,-94.5925600000,La Bodega
20,"('39.1092640000', '-94.5719820000')",Italian,39.1092640000,-94.5719820000,Garozzo's Ristorante
21,"('39.0405380000', '-94.5923530000')","Asian, Hawaiian, Sushi",39.0405380000,-94.5923530000,Kona Grill
22,"('39.0530300000', '-94.5907200000')","American, Mediterranean, Middle Eastern",39.0530300000,-94.5907200000,Jerusalem Café
23,"('38.8835100000', '-94.5863600000')","BBQ, Seafood, Steak",38.8835100000,-94.5863600000,Jack Stack Barbecue - Martin City
24,"('39.1094219000', '-94.5846692000')","American, Vegetarian",39.1094219000,-94.5846692000,The Farmhouse
25,"('39.0401557000', '-94.5939376000')",American,39.0401557000,-94.5939376000,Gram & Dun
26,"('39.0375900000', '-94.5873680000')","Pizza, Sandwich",39.0375900000,-94.5873680000,Spin Neapolitan Pizza
27,"('39.1912400000', '-94.5148900000')",American,39.1912400000,-94.5148900000,Stroud's Restaurant & Bar
28,"('39.1094460000', '-94.5704020000')","Breakfast, Sandwich",39.1094460000,-94.5704020000,Happy Gillis Café & Hangout
29,"('39.0414280000', '-94.5936600000')",Italian,39.0414280000,-94.5936600000,BRIO Tuscan Grille
30,"('39.0947200000', '-94.5932000000')","American, Bar Food",39.0947200000,-94.5932000000,The Westside Local
31,"('39.0571230000', '-94.6052300000')","American, Breakfast",39.0571230000,-94.6052300000,Room 39
32,"('39.0926680000', '-94.5931980000')","Cafe, Coffee and Tea, French, Crepes",39.0926680000,-94.5931980000,Chez Elle Creperie Coffeehouse
33,"('39.1091400000', '-94.5790500000')",French,39.1091400000,-94.5790500000,Le Fou Frog
34,"('39.0970730000', '-94.5827490000')","American, Seafood",39.0970730000,-94.5827490000,Bristol Seafood Grill
35,"('39.0928580000', '-94.5935340000')","Breakfast, Diner, Vegetarian",39.0928580000,-94.5935340000,Blue Bird Bistro
36,"('39.0425007984', '-94.5885434747')","Asian, Chinese, Dim Sum",39.0425007984,-94.5885434747,P.F. Chang's
37,"('39.0345200000', '-94.5166300000')",BBQ,39.0345200000,-94.5166300000,LC's Bar-B-Q
38,"('39.1093570000', '-94.5732610000')",Vietnamese,39.1093570000,-94.5732610000,Vietnam Cafe
39,"('39.0414100000', '-94.5948600000')","American, Seafood, Steak",39.0414100000,-94.5948600000,The Capital Grille
40,"('39.2396030000', '-94.5768460000')","American, Breakfast, Sandwich",39.2396030000,-94.5768460000,Kate's Kitchen
41,"('39.0753330000', '-94.5762090000')","Breakfast, Diner, Sandwich",39.0753330000,-94.5762090000,You Say Tomato
42,"('39.0571660000', '-94.6064450000')","Seafood, Southern, Cajun",39.0571660000,-94.6064450000,"Jazz, A Louisiana Kitchen"
43,"('39.0346110000', '-94.5871500000')","Italian, Pizza, Sandwich",39.0346110000,-94.5871500000,Minsky's Pizza
44,"('39.0840730000', '-94.5844400000')","American, Seafood, Steak",39.0840730000,-94.5844400000,Pierpont's at Union Station
45,"('39.0142030000', '-94.5920880000')",European,39.0142030000,-94.5920880000,Avenues Bistro
46,"('39.0444530000', '-94.5869580000')","American, Seafood, Steak",39.0444530000,-94.5869580000,Cafe Trio Restaurant
47,"('39.0942580000', '-94.5832880000')","Japanese, Sushi",39.0942580000,-94.5832880000,Nara
48,"('39.0902650000', '-94.5838000000')","Spanish, Tapas",39.0902650000,-94.5838000000,Extra Virgin
49,"('39.0508100000', '-94.5968200000')",New American,39.0508100000,-94.5968200000,Bluestem
50,"('39.0421650000', '-94.5891280000')","American, Desserts, International",39.0421650000,-94.5891280000,The Cheesecake Factory
51,"('39.0753360000', '-94.6030500000')",Mexican,39.0753360000,-94.6030500000,El Patron
52,"('38.9117430000', '-94.3769450000')",American,38.9117430000,-94.3769450000,Stuey McBrews
53,"('39.0877250000', '-94.5849490000')","European, German, Eastern European",39.0877250000,-94.5849490000,Grunauer
54,"('39.0422680000', '-94.5948140000')",Vegetarian,39.0422680000,-94.5948140000,Eden Alley Cafe
55,"('39.0525500000', '-94.5910020000')",Indian,39.0525500000,-94.5910020000,Moti Mahal Cusine Of India
56,"('39.0515140000', '-94.5889420000')","Japanese, Steak",39.0515140000,-94.5889420000,Gojo Japanese Steak House
57,"('39.1762130000', '-94.6129630000')","American, Breakfast, Diner",39.1762130000,-94.6129630000,Corner Cafe
58,"('38.9732170000', '-94.5751910000')","American, BBQ, Southern",38.9732170000,-94.5751910000,B.B.'s Lawnside BBQ
59,"('39.0374400000', '-94.5873750000')","Desserts, Ice Cream",39.0374400000,-94.5873750000,Glace Artisan Ice Cream
60,"('39.0274700000', '-94.5846500000')","Coffee and Tea, French",39.0274700000,-94.5846500000,Aixois
61,"('39.0984380000', '-94.5819900000')",Bar Food,39.0984380000,-94.5819900000,Flying Saucer
62,"('39.0346110000', '-94.5871500000')","Italian, Pizza",39.0346110000,-94.5871500000,Osteria Il Centro
63,"('39.0974140000', '-94.5819900000')","Bar Food, Sandwich",39.0974140000,-94.5819900000,Gordon Biersch Brewery Restaurant
64,"('39.1077960000', '-94.5811190000')","American, Bar Food",39.1077960000,-94.5811190000,Harry's Country Club
65,"('39.2514260000', '-94.6660210000')","Indian, Pakistani",39.2514260000,-94.6660210000,Swagat Fine Indian Cuisine
66,"('39.0136970000', '-94.5905020000')","European, Italian, Spanish",39.0136970000,-94.5905020000,Carmen's Café
67,"('38.9413250000', '-94.6057310000')","European, Italian, Mediterranean",38.9413250000,-94.6057310000,Jasper's
68,"('39.0890200000', '-94.5868200000')",Mexican,39.0890200000,-94.5868200000,Manny's Mexican Restaurant
69,"('39.1671940000', '-94.5211670000')","Japanese, Sushi, Vietnamese",39.1671940000,-94.5211670000,Mr. Le's Sushi
70,"('39.3873730000', '-94.5814820000')",American,39.3873730000,-94.5814820000,Justus Drugstore Restaurant
71,"('39.0571220000', '-94.6051920000')",Chinese,39.0571220000,-94.6051920000,Po's Dumpling Bar
72,"('39.0515871000', '-94.5904253000')",Mexican,39.0515871000,-94.5904253000,Port Fonda
73,"('39.0425440000', '-94.5907430000')","Desserts, Italian, Pizza",39.0425440000,-94.5907430000,Buca di Beppo Italian Restaurant
74,"('39.0501290000', '-94.6066040000')","Italian, Sandwich",39.0501290000,-94.6066040000,Cupini's
